"hour","SWH","WavePeriod"
1,4,15
2,4,15
3,4,15
4,4,14
5,4,14
6,4,14
7,4,14
8,4,14
9,3,14
10,3,14
11,2,13
12,2,14
13,2,14
14,2,14
15,2,14
16,3,14
17,3,14
18,3,14
19,3,14
20,3,13
21,3,13
22,3,13
23,4,13
24,4,13
25,4,13
26,4,12
27,4,12
28,4,13
29,4,13
30,4,13
31,4,13
32,4,13
33,4,13
34,4,14
35,4,14
36,4,14
37,4,16
38,4,16
39,4,16
40,4,16
41,5,16
42,5,16
43,5,16
44,5,17
45,5,17
46,5,17
47,5,17
48,5,17
49,5,17
50,4,17
51,4,17
52,4,17
53,4,17
54,4,17
55,4,18
56,4,18
57,4,18
58,4,18
59,4,18
60,4,18
61,4,19
62,4,19
63,4,19
64,4,19
65,4,19
66,5,19
67,5,19
68,5,16
69,4,16
70,4,17
71,4,17
72,5,17
73,5,17
74,5,17
75,5,17
76,5,16
77,5,16
78,5,16
79,5,16
80,5,16
81,5,16
82,6,16
83,6,17
84,6,17
85,6,17
86,5,14
87,5,14
88,5,14
89,5,14
90,5,13
91,5,12
92,5,12
93,5,12
94,6,12
95,6,12
96,6,12
97,5,13
98,5,13
99,5,13
100,6,14
101,5,13
102,5,13
103,5,13
104,5,13
105,5,13
106,5,13
107,5,13
108,5,14
109,5,14
110,5,14
111,4,14
112,4,14
113,4,15
114,4,15
115,4,15
116,4,15
117,4,15
118,4,14
119,4,14
120,4,14
121,5,14
122,5,14
123,6,14
124,7,14
125,7,15
126,7,16
127,7,16
128,7,16
129,7,16
130,7,16
131,8,16
132,8,17
133,8,17
134,8,18
135,8,18
136,8,17
137,8,16
138,8,16
139,8,15
140,8,15
141,8,15
142,8,15
143,8,15
144,8,15
145,7,14
146,7,14
147,7,14
148,7,14
149,7,19
150,7,20
151,7,20
152,7,20
153,7,19
154,7,19
155,7,19
156,7,21
157,7,20
158,7,20
159,7,20
160,7,20
161,7,20
162,7,20
163,6,21
164,6,21
165,6,21
166,6,21
167,6,21
168,6,21
169,6,22
170,6,22
171,6,22
172,6,22
173,6,22
174,6,22
175,6,22
176,6,22
177,6,22
178,6,22
179,6,22
180,6,22
181,6,22
182,6,22
183,6,21
184,6,22
185,6,22
186,6,22
187,6,22
188,5,22
189,5,22
190,5,21
191,5,21
192,5,21
193,5,21
194,5,21
195,5,22
196,5,22
197,5,22
198,5,22
199,5,21
200,5,6
201,5,6
202,6,6
203,6,7
204,6,7
205,6,7
206,6,8
207,6,8
208,6,8
209,7,8
210,7,8
211,8,8
212,8,8
213,8,7
214,8,7
215,8,7
216,7,7
217,8,7
218,7,7
219,7,7
220,7,7
221,7,7
222,7,7
223,7,7
224,8,8
225,8,7
226,8,7
227,8,7
228,7,7
229,7,7
230,8,7
231,8,7
232,8,7
233,8,7
234,8,7
235,8,7
236,7,7
237,7,7
238,7,7
239,7,7
240,6,7
241,6,6
242,6,6
243,6,6
244,6,7
245,6,7
246,5,8
247,5,8
248,5,8
249,5,8
250,5,8
251,5,8
252,5,7
253,5,7
254,6,8
255,6,8
256,6,8
257,6,8
258,6,8
259,5,8
260,5,8
261,5,8
262,5,8
263,5,8
264,6,9
265,6,9
266,7,9
267,7,9
268,7,9
269,7,9
270,7,9
271,7,9
272,7,9
273,8,9
274,8,9
275,8,9
276,9,9
277,9,8
278,9,9
279,9,9
280,8,9
281,8,9
282,8,9
283,8,8
284,9,8
285,9,8
286,8,8
287,9,8
288,11,9
289,11,9
290,10,9
291,10,9
292,10,9
293,11,9
294,10,9
295,10,9
296,10,9
297,10,8
298,10,7
299,10,7
300,10,7
301,10,7
302,10,8
303,9,8
304,9,8
305,9,8
306,9,8
307,9,8
308,9,7
309,9,7
310,9,7
311,8,7
312,8,7
313,8,7
314,8,7
315,8,7
316,8,7
317,8,8
318,8,8
319,8,8
320,8,8
321,8,8
322,8,9
323,8,9
324,8,9
325,8,9
326,8,8
327,8,8
328,8,8
329,8,8
330,8,8
331,8,8
332,8,9
333,8,9
334,8,9
335,8,9
336,8,9
337,8,9
338,8,9
339,8,9
340,8,10
341,7,11
342,7,11
343,7,11
344,7,11
345,7,11
346,7,11
347,7,11
348,7,11
349,7,12
350,7,12
351,7,12
352,6,11
353,6,11
354,6,10
355,6,10
356,6,10
357,5,10
358,5,8
359,5,8
360,5,9
361,5,9
362,5,9
363,5,8
364,5,8
365,5,8
366,5,8
367,5,8
368,5,8
369,5,8
370,5,8
371,4,8
372,4,9
373,4,9
374,5,9
375,5,9
376,5,9
377,5,9
378,5,9
379,5,9
380,5,9
381,6,9
382,6,9
383,6,9
384,6,10
385,5,11
386,5,11
387,4,9
388,4,8
389,4,8
390,4,8
391,4,8
392,4,8
393,4,7
394,5,6
395,5,6
396,5,6
397,5,6
398,5,6
399,5,6
400,5,6
401,5,6
402,5,6
403,5,6
404,5,6
405,5,6
406,5,6
407,4,6
408,4,6
409,4,6
410,4,6
411,4,6
412,4,6
413,4,6
414,4,5
415,3,5
416,3,5
417,3,5
418,3,5
419,3,6
420,3,7
421,3,7
422,3,8
423,3,7
424,4,8
425,4,8
426,4,8
427,4,8
428,4,8
429,4,8
430,3,9
431,3,9
432,3,10
433,3,11
434,3,11
435,3,11
436,3,11
437,3,11
438,3,11
439,3,11
440,3,10
441,3,10
442,3,10
443,3,10
444,3,10
445,3,10
446,3,10
447,3,10
448,3,9
449,3,10
450,4,7
451,4,6
452,4,6
453,4,6
454,4,6
455,4,6
456,4,6
457,4,6
458,4,7
459,4,7
460,4,8
461,4,8
462,4,8
463,4,8
464,4,8
465,4,8
466,5,8
467,4,7
468,4,7
469,4,7
470,4,7
471,4,7
472,4,7
473,4,7
474,3,7
475,3,7
476,3,7
477,4,8
478,4,8
479,4,8
480,4,9
481,4,10
482,4,7
483,4,7
484,5,7
485,5,7
486,5,7
487,5,7
488,5,8
489,6,8
490,6,8
491,6,8
492,5,8
493,5,9
494,5,9
495,6,9
496,7,9
497,7,9
498,7,9
499,7,9
500,7,10
501,7,10
502,11,10
503,11,10
504,11,10
505,11,9
506,11,9
507,11,9
508,11,9
509,11,9
510,10,9
511,10,10
512,10,9
513,9,9
514,9,9
515,8,9
516,8,9
517,8,9
518,8,8
519,8,8
520,9,8
521,9,8
522,9,9
523,10,9
524,10,9
525,10,9
526,10,9
527,10,9
528,9,9
529,9,9
530,9,9
531,9,9
532,8,9
533,8,9
534,7,9
535,7,9
536,7,9
537,7,9
538,7,9
539,6,9
540,6,10
541,6,10
542,6,10
543,6,10
544,6,10
545,6,11
546,6,11
547,6,11
548,6,11
549,6,12
550,6,13
551,7,13
552,6,13
553,6,13
554,6,14
555,7,14
556,7,14
557,7,14
558,7,15
559,7,15
560,7,15
561,7,14
562,7,14
563,7,14
564,7,14
565,7,14
566,7,14
567,7,15
568,7,15
569,7,15
570,7,14
571,7,14
572,6,13
573,5,13
574,5,13
575,4,13
576,4,13
577,4,13
578,4,13
579,4,13
580,4,13
581,4,13
582,4,14
583,4,14
584,4,13
585,4,13
586,4,14
587,4,14
588,4,13
589,4,13
590,4,13
591,4,13
