Date,Time,SWH(m),Period(s)
08-Nov-09,18:00:00,3.562,9.271
08-Nov-09,19:00:00,3.426,9.186
08-Nov-09,20:00:00,3.265,9.142
08-Nov-09,21:00:00,3.111,9.132
08-Nov-09,22:00:00,2.974,9.132
08-Nov-09,23:00:00,2.854,9.13
09-Nov-09,00:00:00,2.734,9.114
09-Nov-09,01:00:00,2.625,9.091
09-Nov-09,02:00:00,2.521,9.07
09-Nov-09,03:00:00,2.417,9.052
09-Nov-09,04:00:00,2.323,9.05
09-Nov-09,05:00:00,2.24,9.055
09-Nov-09,06:00:00,2.175,9.072
09-Nov-09,07:00:00,2.113,9.072
09-Nov-09,08:00:00,2.058,9.074
09-Nov-09,09:00:00,1.998,9.061
09-Nov-09,10:00:00,1.941,9.041
09-Nov-09,11:00:00,1.884,8.991
09-Nov-09,12:00:00,1.835,8.937
09-Nov-09,13:00:00,1.772,8.88
09-Nov-09,14:00:00,1.725,8.807
09-Nov-09,15:00:00,1.678,8.722
09-Nov-09,16:00:00,1.634,8.638
09-Nov-09,17:00:00,1.595,8.555
09-Nov-09,18:00:00,1.551,8.49
09-Nov-09,19:00:00,1.523,8.355
09-Nov-09,20:00:00,1.509,8.07
09-Nov-09,21:00:00,1.517,7.636
09-Nov-09,22:00:00,1.535,7.267
09-Nov-09,23:00:00,1.521,7.023
10-Nov-09,00:00:00,1.505,6.872
10-Nov-09,01:00:00,1.478,6.812
10-Nov-09,02:00:00,1.485,6.729
10-Nov-09,03:00:00,1.547,6.611
10-Nov-09,04:00:00,1.636,6.517
10-Nov-09,05:00:00,1.679,6.499
11-Nov-09,00:00:00,1.99,10.207
11-Nov-09,01:00:00,1.975,10.171
11-Nov-09,02:00:00,1.959,10.142
11-Nov-09,03:00:00,1.946,10.113
11-Nov-09,04:00:00,1.931,10.082
11-Nov-09,05:00:00,1.915,10.04
11-Nov-09,06:00:00,1.892,9.993
11-Nov-09,07:00:00,1.861,9.941
11-Nov-09,08:00:00,1.832,9.897
11-Nov-09,09:00:00,1.801,9.86
11-Nov-09,10:00:00,1.772,9.813
11-Nov-09,11:00:00,1.741,9.782
11-Nov-09,12:00:00,1.702,9.782
11-Nov-09,13:00:00,1.658,9.774
11-Nov-09,14:00:00,1.629,9.572
11-Nov-09,15:00:00,1.629,9.1
11-Nov-09,16:00:00,1.625,8.74
11-Nov-09,17:00:00,1.672,8.053
11-Nov-09,18:00:00,1.662,8.125
11-Nov-09,19:00:00,1.666,8.237
11-Nov-09,20:00:00,1.753,7.801
11-Nov-09,21:00:00,1.84,7.491
11-Nov-09,22:00:00,1.911,7.294
11-Nov-09,23:00:00,1.971,7.152
12-Nov-09,00:00:00,2.005,7.108
12-Nov-09,01:00:00,2.021,7.082
12-Nov-09,02:00:00,2.031,7.074
12-Nov-09,03:00:00,2.044,7.088
12-Nov-09,04:00:00,2.048,7.146
12-Nov-09,05:00:00,2.065,7.197
12-Nov-09,06:00:00,2.096,7.268
12-Nov-09,07:00:00,2.126,7.321
12-Nov-09,08:00:00,2.18,7.337
12-Nov-09,09:00:00,2.267,7.287
12-Nov-09,10:00:00,2.37,7.258
12-Nov-09,11:00:00,2.494,7.263
12-Nov-09,12:00:00,2.695,7.245
12-Nov-09,13:00:00,2.797,7.523
12-Nov-09,14:00:00,2.958,7.826
12-Nov-09,15:00:00,3.11,8.125
12-Nov-09,16:00:00,3.246,8.44
12-Nov-09,17:00:00,3.403,8.698
12-Nov-09,18:00:00,3.532,8.854
12-Nov-09,19:00:00,3.64,8.878
12-Nov-09,20:00:00,3.656,8.969
12-Nov-09,21:00:00,3.656,9.087
12-Nov-09,22:00:00,3.677,9.183
12-Nov-09,23:00:00,3.732,9.258
13-Nov-09,00:00:00,3.769,9.359
13-Nov-09,01:00:00,3.787,9.502
13-Nov-09,02:00:00,3.803,9.636
13-Nov-09,03:00:00,3.816,9.751
13-Nov-09,04:00:00,3.816,9.84
13-Nov-09,05:00:00,3.805,9.903
13-Nov-09,06:00:00,3.793,9.945
13-Nov-09,07:00:00,3.78,9.979
13-Nov-09,08:00:00,3.741,9.995
13-Nov-09,09:00:00,3.697,10.018
13-Nov-09,10:00:00,3.655,10.051
13-Nov-09,11:00:00,3.588,10.119
13-Nov-09,12:00:00,3.523,10.195
13-Nov-09,13:00:00,3.416,10.344
13-Nov-09,14:00:00,3.349,10.313
13-Nov-09,15:00:00,3.448,9.805
13-Nov-09,16:00:00,3.635,9.391
13-Nov-09,17:00:00,3.904,9.136
13-Nov-09,18:00:00,4.211,9.04
13-Nov-09,19:00:00,4.559,9.088
13-Nov-09,20:00:00,4.693,9.306
13-Nov-09,21:00:00,4.816,9.499
13-Nov-09,22:00:00,4.935,9.66
13-Nov-09,23:00:00,5.05,9.783
14-Nov-09,00:00:00,5.157,9.871
14-Nov-09,01:00:00,5.344,9.948
14-Nov-09,02:00:00,5.583,10.064
14-Nov-09,03:00:00,5.843,10.224
14-Nov-09,04:00:00,6.089,10.362
14-Nov-09,05:00:00,6.387,10.507
14-Nov-09,06:00:00,6.525,10.71
14-Nov-09,07:00:00,6.688,10.861
14-Nov-09,08:00:00,6.951,11.003
14-Nov-09,09:00:00,7.182,11.138
14-Nov-09,10:00:00,7.174,11.212
14-Nov-09,11:00:00,7.023,11.214
14-Nov-09,12:00:00,6.842,11.115
14-Nov-09,13:00:00,6.574,11.146
14-Nov-09,14:00:00,6.305,11.042
14-Nov-09,15:00:00,6.112,10.942
14-Nov-09,16:00:00,5.944,10.909
14-Nov-09,17:00:00,5.74,10.941
14-Nov-09,18:00:00,5.519,10.976
14-Nov-09,19:00:00,5.276,10.827
14-Nov-09,20:00:00,5.099,10.857
14-Nov-09,21:00:00,4.923,10.876
14-Nov-09,22:00:00,4.757,10.869
14-Nov-09,23:00:00,4.614,10.831
15-Nov-09,00:00:00,4.481,10.767
15-Nov-09,01:00:00,4.367,10.705
15-Nov-09,02:00:00,4.287,10.622
15-Nov-09,03:00:00,4.225,10.564
15-Nov-09,04:00:00,4.179,10.536
15-Nov-09,05:00:00,4.163,10.544
15-Nov-09,06:00:00,4.174,10.594
15-Nov-09,07:00:00,4.213,10.712
15-Nov-09,08:00:00,4.304,10.903
15-Nov-09,09:00:00,4.432,11.151
15-Nov-09,10:00:00,4.561,11.371
15-Nov-09,11:00:00,4.642,11.508
15-Nov-09,12:00:00,4.661,11.568
15-Nov-09,13:00:00,4.618,11.677
15-Nov-09,14:00:00,4.529,11.62
15-Nov-09,15:00:00,4.428,11.54
15-Nov-09,16:00:00,4.319,11.457
15-Nov-09,17:00:00,4.202,11.369
15-Nov-09,18:00:00,4.083,11.278
15-Nov-09,19:00:00,3.979,11.08
15-Nov-09,20:00:00,3.854,10.966
15-Nov-09,21:00:00,3.737,10.846
15-Nov-09,22:00:00,3.628,10.719
15-Nov-09,23:00:00,3.503,10.628
16-Nov-09,00:00:00,3.353,10.568
16-Nov-09,01:00:00,3.207,10.468
16-Nov-09,02:00:00,3.107,10.102
16-Nov-09,03:00:00,3.027,10.01
16-Nov-09,04:00:00,3.009,9.839
16-Nov-09,05:00:00,3.089,9.517
16-Nov-09,06:00:00,3.154,9.446
16-Nov-09,07:00:00,3.239,9.472
16-Nov-09,08:00:00,3.366,9.318
16-Nov-09,09:00:00,3.541,9.052
16-Nov-09,10:00:00,3.65,8.801
16-Nov-09,11:00:00,3.707,8.596
16-Nov-09,12:00:00,3.795,8.523
16-Nov-09,13:00:00,3.815,8.571
16-Nov-09,14:00:00,3.844,8.571
16-Nov-09,15:00:00,3.819,8.534
16-Nov-09,16:00:00,3.795,8.463
16-Nov-09,17:00:00,3.742,8.39
24-Nov-09,18:00:00,4.738,9.58
24-Nov-09,19:00:00,4.925,9.514
24-Nov-09,20:00:00,5.029,9.581
24-Nov-09,21:00:00,5.183,9.676
24-Nov-09,22:00:00,5.291,10.222
24-Nov-09,23:00:00,5.255,10.4
25-Nov-09,00:00:00,5.164,10.27
25-Nov-09,01:00:00,5.077,10.162
25-Nov-09,02:00:00,4.982,10.093
25-Nov-09,03:00:00,4.907,9.986
25-Nov-09,04:00:00,4.863,9.871
25-Nov-09,05:00:00,4.871,9.79
25-Nov-09,06:00:00,4.871,9.721
25-Nov-09,07:00:00,4.874,9.685
25-Nov-09,08:00:00,4.91,9.677
25-Nov-09,09:00:00,4.954,9.666
25-Nov-09,10:00:00,5.071,9.692
25-Nov-09,11:00:00,5.243,9.775
25-Nov-09,12:00:00,5.311,9.908
25-Nov-09,13:00:00,5.287,10.085
25-Nov-09,14:00:00,5.277,10.145
25-Nov-09,15:00:00,5.23,10.138
25-Nov-09,16:00:00,5.16,10.091
25-Nov-09,17:00:00,5.067,10.051
25-Nov-09,18:00:00,4.965,9.968
25-Nov-09,19:00:00,4.885,9.874
25-Nov-09,20:00:00,4.797,9.866
25-Nov-09,21:00:00,4.745,9.884
25-Nov-09,22:00:00,4.729,9.9
25-Nov-09,23:00:00,4.747,9.928
26-Nov-09,00:00:00,4.794,9.955
26-Nov-09,01:00:00,4.857,10.025
26-Nov-09,02:00:00,4.943,10.103
26-Nov-09,03:00:00,5.022,10.174
26-Nov-09,04:00:00,5.082,10.241
26-Nov-09,05:00:00,5.16,10.322
26-Nov-09,06:00:00,5.194,10.364
26-Nov-09,07:00:00,5.179,10.341
26-Nov-09,08:00:00,5.127,10.26
26-Nov-09,09:00:00,5.059,10.154
26-Nov-09,10:00:00,4.986,10.05
26-Nov-09,11:00:00,4.908,9.956
26-Nov-09,12:00:00,4.807,9.831
26-Nov-09,13:00:00,4.674,9.786
26-Nov-09,14:00:00,4.588,9.723
26-Nov-09,15:00:00,4.505,9.634
