"id","day","wd","minute10","W"
1,1,3,1,330.5
2,1,3,2,305.5
3,1,3,3,296.5
4,1,3,4,284
5,1,3,5,270.5
6,1,3,6,257.5
7,1,3,7,244
8,1,3,8,239
9,1,3,9,235
10,1,3,10,231.5
11,1,3,11,234.5
12,1,3,12,224
13,1,3,13,216
14,1,3,14,198
15,1,3,15,192.5
16,1,3,16,193
17,1,3,17,199
18,1,3,18,196.5
19,1,3,19,191.5
20,1,3,20,185
21,1,3,21,179.5
22,1,3,22,183
23,1,3,23,180.5
24,1,3,24,182
25,1,3,25,175.5
26,1,3,26,173.5
27,1,3,27,176
28,1,3,28,179
29,1,3,29,179
30,1,3,30,174.5
31,1,3,31,180
32,1,3,32,175
33,1,3,33,184.5
34,1,3,34,177.5
35,1,3,35,180
36,1,3,36,185
37,1,3,37,197
38,1,3,38,204
39,1,3,39,208
40,1,3,40,209.5
41,1,3,41,235.5
42,1,3,42,248.5
43,1,3,43,278.5
44,1,3,44,311
45,1,3,45,332
46,1,3,46,354
47,1,3,47,377.5
48,1,3,48,411.5
49,1,3,49,399
50,1,3,50,415
51,1,3,51,418
52,1,3,52,402
53,1,3,53,383.5
54,1,3,54,373
55,1,3,55,391.5
56,1,3,56,413.5
57,1,3,57,406.5
58,1,3,58,368
59,1,3,59,353.5
60,1,3,60,367.5
61,1,3,61,380
62,1,3,62,372.5
63,1,3,63,350.5
64,1,3,64,329
65,1,3,65,328.5
66,1,3,66,321.5
67,1,3,67,327
68,1,3,68,346.5
69,1,3,69,336.5
70,1,3,70,343.5
71,1,3,71,345.5
72,1,3,72,332
73,1,3,73,345
74,1,3,74,368
75,1,3,75,347
76,1,3,76,369
77,1,3,77,344
78,1,3,78,344.5
79,1,3,79,335.5
80,1,3,80,368.5
81,1,3,81,376
82,1,3,82,380.5
83,1,3,83,387.5
84,1,3,84,376
85,1,3,85,349
86,1,3,86,352
87,1,3,87,358
88,1,3,88,350.5
89,1,3,89,371.5
90,1,3,90,363.5
91,1,3,91,371
92,1,3,92,396.5
93,1,3,93,415.5
94,1,3,94,433
95,1,3,95,439
96,1,3,96,463
97,1,3,97,478
98,1,3,98,500.5
99,1,3,99,519.5
100,1,3,100,552
101,1,3,101,568.5
102,1,3,102,602
103,1,3,103,641.5
104,1,3,104,663.5
105,1,3,105,663.5
106,1,3,106,628
107,1,3,107,642.5
108,1,3,108,672
109,1,3,109,662
110,1,3,110,697.5
111,1,3,111,716.5
112,1,3,112,696
113,1,3,113,719
114,1,3,114,719.5
115,1,3,115,673.5
116,1,3,116,677
117,1,3,117,661
118,1,3,118,660
119,1,3,119,661
120,1,3,120,684.5
121,1,3,121,662.5
122,1,3,122,656.5
123,1,3,123,630
124,1,3,124,618
125,1,3,125,643.5
126,1,3,126,632
127,1,3,127,594
128,1,3,128,619
129,1,3,129,609.5
130,1,3,130,575
131,1,3,131,568.5
132,1,3,132,555.5
133,1,3,133,545.5
134,1,3,134,525.5
135,1,3,135,505
136,1,3,136,474
137,1,3,137,478
138,1,3,138,460
139,1,3,139,440.5
140,1,3,140,405
141,1,3,141,382.5
142,1,3,142,377.5
143,1,3,143,364.5
144,1,3,144,344.5
145,2,4,1,330.5
146,2,4,2,305.5
147,2,4,3,296.5
148,2,4,4,284
149,2,4,5,270.5
150,2,4,6,257.5
151,2,4,7,244
152,2,4,8,239
153,2,4,9,235
154,2,4,10,231.5
155,2,4,11,234.5
156,2,4,12,224
157,2,4,13,216
158,2,4,14,198
159,2,4,15,192.5
160,2,4,16,193
161,2,4,17,199
162,2,4,18,196.5
163,2,4,19,191.5
164,2,4,20,185
165,2,4,21,179.5
166,2,4,22,183
167,2,4,23,180.5
168,2,4,24,182
169,2,4,25,175.5
170,2,4,26,173.5
171,2,4,27,176
172,2,4,28,179
173,2,4,29,179
174,2,4,30,174.5
175,2,4,31,180
176,2,4,32,175
177,2,4,33,184.5
178,2,4,34,177.5
179,2,4,35,180
180,2,4,36,185
181,2,4,37,197
182,2,4,38,204
183,2,4,39,208
184,2,4,40,209.5
185,2,4,41,235.5
186,2,4,42,248.5
187,2,4,43,278.5
188,2,4,44,311
189,2,4,45,332
190,2,4,46,354
191,2,4,47,377.5
192,2,4,48,411.5
193,2,4,49,399
194,2,4,50,415
