Time,AutWd,AutSat,AutSun,HsrWd,HsrSat,HsrSun,SmrWd,SmrSat,SmrSun,SprWd,SprSat,SprSun,WtrWd,WtrSat,WtrSun
0.02,0.35,0.37,0.39,0.31,0.34,0.33,0.34,0.37,0.37,0.42,0.44,0.48,1.08,1.12,1.18
0.04,0.36,0.4,0.38,0.31,0.33,0.33,0.35,0.38,0.38,0.47,0.49,0.51,2.12,2.17,2.23
0.06,0.5,0.54,0.49,0.34,0.35,0.36,0.43,0.46,0.45,0.72,0.71,0.72,2.46,2.49,2.55
0.08,0.98,1.05,0.93,0.43,0.46,0.45,0.67,0.74,0.74,1.42,1.4,1.41,2.49,2.52,2.58
0.10,1.09,1.16,1.01,0.48,0.51,0.49,0.75,0.83,0.81,1.65,1.61,1.62,2.42,2.45,2.49
0.13,1.08,1.14,0.98,0.48,0.47,0.46,0.72,0.79,0.77,1.66,1.66,1.65,2.34,2.37,2.39
0.15,0.99,1.03,0.9,0.45,0.46,0.45,0.67,0.72,0.71,1.52,1.54,1.51,2.16,2.2,2.21
0.17,0.93,0.98,0.82,0.46,0.48,0.47,0.66,0.71,0.7,1.4,1.4,1.39,1.92,1.94,1.96
0.19,0.85,0.88,0.71,0.43,0.45,0.43,0.63,0.68,0.64,1.3,1.29,1.27,1.77,1.76,1.79
0.21,0.75,0.76,0.63,0.42,0.44,0.39,0.57,0.61,0.58,1.16,1.13,1.14,1.66,1.66,1.68
0.23,0.7,0.69,0.57,0.43,0.43,0.4,0.55,0.59,0.54,1.07,1.05,1.03,1.54,1.52,1.55
0.25,0.76,0.74,0.63,0.5,0.52,0.46,0.64,0.65,0.6,1.06,1.03,0.98,1.47,1.47,1.44
0.27,0.87,0.85,0.7,0.57,0.55,0.5,0.69,0.66,0.6,1.03,0.96,0.92,1.47,1.42,1.38
0.29,0.88,0.8,0.63,0.58,0.52,0.48,0.72,0.66,0.6,1.07,0.93,0.88,1.44,1.35,1.28
0.31,0.94,0.82,0.62,0.62,0.52,0.49,0.77,0.69,0.58,1.14,0.94,0.89,1.35,1.18,1.09
0.33,0.93,0.84,0.66,0.64,0.53,0.49,0.75,0.65,0.58,1.06,0.91,0.85,0.98,0.82,0.74
0.35,0.81,0.78,0.7,0.57,0.55,0.53,0.62,0.62,0.6,0.87,0.9,0.82,0.75,0.71,0.66
0.38,0.56,0.62,0.59,0.47,0.5,0.51,0.47,0.54,0.54,0.59,0.67,0.68,0.61,0.67,0.66
0.40,0.46,0.53,0.57,0.43,0.47,0.53,0.41,0.49,0.54,0.46,0.56,0.6,0.55,0.65,0.71
0.42,0.42,0.53,0.6,0.41,0.48,0.55,0.39,0.46,0.54,0.42,0.49,0.58,0.51,0.65,0.73
0.44,0.4,0.49,0.61,0.39,0.44,0.56,0.37,0.46,0.57,0.41,0.49,0.61,0.48,0.61,0.77
0.46,0.39,0.48,0.61,0.39,0.45,0.57,0.37,0.45,0.57,0.4,0.48,0.62,0.47,0.61,0.76
0.48,0.39,0.5,0.62,0.37,0.43,0.58,0.36,0.43,0.59,0.38,0.51,0.66,0.46,0.61,0.81
0.50,0.4,0.5,0.69,0.41,0.48,0.64,0.38,0.5,0.64,0.42,0.55,0.7,0.48,0.65,0.85
0.52,0.42,0.51,0.75,0.42,0.48,0.7,0.41,0.5,0.67,0.43,0.58,0.74,0.51,0.67,0.9
