"hour","h"
1,6
2,6
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,5
24,6
25,6
26,6
27,6
28,6
29,6
30,6
31,7
32,7
33,7
34,7
35,7
36,7
37,7
38,7
39,7
40,7
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,5
81,5
82,6
83,6
84,6
85,5
86,5
87,5
88,6
89,6
90,7
91,7
92,7
93,6
94,6
95,7
96,8
97,8
98,8
99,8
100,7
101,7
102,7
103,8
104,8
105,8
106,8
107,8
108,8
109,8
110,8
111,8
112,8
113,10
114,9
115,9
116,9
117,8
118,8
119,8
120,8
121,8
122,8
123,9
124,9
125,9
126,9
127,9
128,9
129,8
130,8
131,9
132,9
133,9
134,10
135,11
136,11
137,10
138,10
139,10
140,9
141,9
142,10
143,10
144,10
145,9
146,9
147,9
148,9
149,8
150,8
151,8
152,8
153,8
154,9
155,9
156,9
157,9
158,9
159,9
160,9
161,9
162,10
163,10
164,10
165,10
166,9
167,9
168,9
169,9
170,10
171,10
172,11
173,11
174,10
175,9
176,9
177,9
178,9
179,9
180,9
181,10
182,9
183,9
184,9
185,8
186,8
187,8
188,8
189,8
190,8
191,7
192,7
193,7
194,7
195,7
196,7
197,7
198,7
199,7
200,8
201,7
202,8
203,7
204,7
205,7
206,7
207,6
208,5
209,5
210,5
211,5
212,5
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,6
229,6
230,6
231,7
232,7
233,7
234,7
235,7
236,8
237,7
238,7
239,7
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,6
249,6
250,6
251,6
252,6
253,7
254,7
255,7
256,7
257,7
258,7
259,7
260,8
261,8
262,8
263,8
264,8
265,8
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,6
287,5
288,5
289,6
290,7
291,7
292,7
293,7
294,7
295,7
296,7
297,7
298,7
299,7
300,7
301,7
302,7
303,7
304,7
305,7
306,7
307,7
308,7
309,8
310,8
311,8
312,8
313,8
314,8
315,9
316,9
317,10
318,10
319,11
320,11
321,11
322,11
323,10
324,10
325,10
326,10
327,10
328,9
329,9
330,9
331,9
332,9
333,9
334,9
335,10
336,10
337,10
338,9
339,9
340,9
341,9
342,9
343,9
344,10
345,9
346,9
347,10
348,10
349,10
350,10
351,9
352,9
353,9
354,9
355,9
356,9
357,9
358,9
359,9
360,9
361,9
362,9
363,9
364,9
365,9
366,9
367,9
368,9
369,9
370,9
371,9
372,9
373,9
374,9
375,9
376,9
377,10
378,10
379,10
380,10
381,10
382,10
383,10
384,10
385,10
386,9
387,9
388,10
389,10
390,10
391,10
392,10
393,11
394,11
395,10
396,10
397,9
398,9
399,9
400,9
401,9
402,9
403,9
404,9
405,9
406,10
407,10
408,10
409,10
410,11
411,12
412,13
413,13
414,13
415,13
416,13
417,13
418,13
419,13
420,13
421,13
422,12
423,12
424,11
425,11
426,11
427,11
428,11
429,10
430,10
431,10
432,10
433,10
434,10
435,10
436,10
437,10
438,10
439,10
440,10
441,10
442,10
443,9
444,9
445,9
446,9
447,9
448,10
449,10
450,10
451,10
452,9
453,9
454,10
455,10
456,10
457,10
458,10
459,9
460,8
461,8
462,8
463,8
464,8
465,8
466,8
467,8
468,8
469,7
470,7
471,7
472,7
473,7
474,7
475,7
476,7
477,7
478,7
479,7
480,7
481,7
482,7
483,7
484,7
485,8
486,8
487,8
488,9
489,9
490,8
491,8
492,8
493,8
494,8
495,8
496,8
497,7
498,7
499,6
500,6
501,6
502,6
503,6
504,6
505,5
506,5
507,5
508,5
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,5
524,6
