"hour","SWH"
1,6
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,6
25,6
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,4
34,5
35,5
36,5
37,5
38,5
39,5
40,6
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,7
61,7
62,7
63,7
64,7
65,7
66,7
67,7
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,5
78,5
79,5
80,5
81,4
82,4
83,5
84,5
85,5
86,5
87,5
88,5
89,4
90,4
91,4
92,4
93,4
94,4
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,4
106,4
107,4
108,4
109,5
110,4
111,4
112,4
113,4
114,4
115,4
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,5
141,5
142,4
143,4
144,4
145,4
146,4
147,4
148,3
149,3
150,3
151,3
152,3
153,3
154,4
155,4
156,4
157,4
158,4
159,4
160,4
161,4
162,4
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,5
183,5
184,5
185,6
186,6
187,6
188,6
189,6
190,6
191,6
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
200,6
201,6
202,6
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,5
219,5
220,5
221,5
222,5
223,5
224,5
225,5
226,5
227,5
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,6
237,6
238,6
239,6
240,7
241,7
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,9
252,9
253,8
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,8
263,8
264,8
265,8
266,8
267,8
268,8
269,8
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,7
282,7
283,7
284,6
285,6
286,6
287,6
288,6
289,6
290,6
291,6
292,6
293,6
294,6
295,6
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,7
306,7
307,7
308,8
309,8
310,8
311,8
312,8
313,8
314,8
315,8
316,8
317,8
318,8
319,8
320,8
321,8
322,9
323,9
324,9
325,8
326,7
327,7
328,7
329,7
330,8
331,9
332,9
333,9
334,9
335,9
336,9
337,9
338,9
339,9
340,9
341,8
342,8
343,8
344,8
345,8
346,8
347,8
348,8
349,8
350,8
351,8
352,7
353,7
354,7
355,7
356,7
357,7
358,7
359,7
360,7
361,7
362,7
363,7
364,7
365,7
366,7
367,7
368,7
369,7
370,7
371,8
372,8
373,8
374,9
375,9
376,9
377,9
378,9
379,9
380,8
381,8
382,8
383,8
384,8
385,7
386,7
387,7
388,7
389,8
390,8
391,9
392,9
393,9
394,9
395,8
396,8
397,8
398,8
399,9
400,9
401,11
402,11
403,11
404,11
405,11
406,11
407,11
408,11
409,12
410,11
411,11
412,11
413,10
414,11
415,11
416,11
417,11
418,10
419,10
420,11
421,11
422,11
423,11
424,11
425,11
426,11
427,11
428,10
429,10
430,10
431,10
432,10
433,10
434,10
435,10
436,10
437,10
438,10
439,10
440,9
441,9
442,9
443,8
444,8
445,8
446,8
447,7
448,7
449,7
450,7
451,7
452,7
453,7
454,7
455,6
456,6
457,5
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,5
476,5
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,6
487,6
488,6
489,6
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,5
498,5
499,5
500,5
501,5
502,5
503,5
504,5
505,4
506,4
507,4
508,3
509,3
510,3
511,3
512,3
513,4
514,4
515,4
516,4
517,4
518,5
519,5
520,6
521,6
522,6
523,7
524,7
525,7
526,7
527,7
528,7
529,7
530,7
531,7
532,7
533,7
534,7
535,7
536,7
537,7
538,7
539,7
540,8
541,8
542,8
543,8
544,8
545,9
546,9
547,9
548,9
549,9
550,9
551,8
552,8
553,8
554,7
555,7
556,7
557,7
558,7
559,7
560,7
561,7
562,7
563,7
564,7
565,7
566,7
567,7
568,7
569,7
570,7
571,7
572,7
573,7
574,7
575,7
576,7
577,6
578,5
579,5
580,5
581,4
582,4
583,4
584,4
585,5
586,5
587,5
588,5
589,5
590,5
591,5
592,5
593,5
594,5
595,5
596,5
597,5
598,5
599,5
600,5
601,5
602,5
603,5
